Month,G,V2,V1,PL,PGP,Bera,TL,LP
Jan-21,39136.94,69317.86,40230.17,10192.3,0,5158.73,18684.43,5538.72
Feb-21,88742.77,33434.32,10960.81,8053.88,620.38,5533.57,18486.67,21615.42
Mar-21,1691422.53,6603.54,893165.06,19157.38,890.39,673494.06,18621.7,84035.32
Apr-21,863759.75,10715.94,43950.49,20836.52,636.71,1054594.7,18251.09,37204.39
May-21,936937.61,30614.43,993543.96,27542.6,156.61,1208149.59,18750.15,11475.62
Jun-21,1213863.85,19111.18,999084.99,25151.32,891.3,1035088.76,19912.32,17923.78
Jul-21,28002.41,28358.14,34803.44,7885.62,1730.22,31775.91,19358.5,35531.24
Aug-21,34944.58,25932.96,11316.27,8655.56,2166.89,56016.66,22370.47,25911.26
Sep-21,28560.23,8352.86,9121.35,18124.36,395.6,55607.93,34652.91,34288.24
Oct-21,9608.2,7382.35,8982.19,49654.13,472.59,55408.25,29025.91,28535.26
Nov-21,8822.41,7619.69,48232.53,55792.2,173.95,39262.52,19678.71,8339.19
Dec-21,7095.85,44755.85,59424.99,32470.59,58.92,17370.86,18337.09,7850.02
Jan-22,54185.25,51454.53,35070.33,14526.35,155.71,7283.15,19283.93,9470.04
Feb-22,67270.27,28590.59,13167.32,17618.07,351.64,7732.74,19749.31,41055.63
Mar-22,37853.61,9970.37,34634.09,23069.6,99.43,16152.52,19737.36,59594.79
Apr-22,13814.17,26953.57,36485.24,18250.45,365.76,40989.3,20016.41,34919.69
May-22,38148.72,24054.64,25258.01,30726.44,341.07,38543.09,20281.78,14038.9
Jun-22,32815.32,20286.06,42623.64,26198.64,205.98,19165.49,20949.35,31885.13
Jul-22,28133.49,32414.89,35514.81,10696.11,110.63,33191.61,20759.56,31335.01
Aug-22,43300.95,25684.04,11977.88,8136.83,260.72,53192.68,22006.17,25631.86
Sep-22,33275.14,8849.57,9069.37,21369.59,393.33,58626.85,20823.59,39329.26
Oct-22,11818.56,7386.83,21001.18,48993.58,288.39,52844.72,20218.33,32127.96
Nov-22,8564.22,18762.48,58460.85,46650.32,44.02,28375.94,19896.68,10994.28
Dec-22,18493.1,50726.58,60421.93,16801.12,75.39,17541.62,19234.86,6858.19
Jan-23,55259.34,53965.26,21368.66,15366.06,309.73,8903.46,19118.46,17848.39
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
